Aktiv - daamob;Aktiv - VM_froehlich;Aktiv - Terminallizenzserver;Aktiv - VM-carlos-neu-win;Aktiv - ownCloud-TEST;Aktiv - management;Aktiv - cloudstorage;Aktiv - droidcandy;Aktiv - groupware;Aktiv - MaPBiquitous;Aktiv - percol;Aktiv - Promotionsinfosys;Aktiv - promotionsinfosys2;Aktiv - VM_Zille;Aktiv - vm-amcs-dev;Aktiv - vm-carlos-neu;Aktiv - vm-wiki-haec;Aktiv - VM-collabware;Aktiv - VM-SAP-Lehre;Aktiv - VM-mobilephonesensing;Aktiv - buddelflink;Aktiv - VM-Gleichstellung;Aktiv - VM-wutzler;Aktiv - VM-IoT-Praktikum;Aktiv - vm-svn-backup;Aktiv - VM-Cyface;Aktiv - VM-Kubica;Aktiv - VM-Czechmann;Aktiv - VM-Fetzer1;Aktiv - VM-Fetzer2;Aktiv - openresearchdata-zih;Aktiv - effingo-vm-zih;Aktiv - VM-Percol-neu;Aktiv - VM-Haufe;Aktiv - FlexCloudFreeNAS;Aktiv - Matlab
0;41940;41940;125828;20968;0;20968;10484;0;1677720;0;62912;62912;0;83884;0;41940;0;83884;20968;10484;0;0;62912;0;838860;0;209712;0;0;20968;83884;20968;167772;209712;83884
41940;41940;41940;83884;10484;0;20968;10484;41940;1677720;0;62912;62912;0;83884;0;41940;0;83884;20968;10484;0;0;62912;0;838860;0;251656;0;0;20968;83884;20968;167772;209712;83884
41940;41940;83884;83884;10484;0;20968;10484;41940;1174404;0;62912;62912;0;83884;0;41940;0;73400;20968;10484;0;0;62912;0;1006632;0;251656;0;0;20968;83884;20968;167772;209712;41940
0;41940;83884;83884;10484;0;20968;10484;41940;1174404;0;62912;62912;0;83884;0;41940;0;73400;0;20968;0;0;62912;0;1006632;0;251656;0;0;20968;167772;20968;251656;209712;41940
0;41940;83884;167772;20968;0;20968;10484;41940;1174404;0;62912;94368;0;83884;0;41940;0;73400;0;20968;0;0;62912;0;1006632;0;251656;0;0;20968;167772;20968;251656;209712;41940
0;41940;83884;167772;20968;0;20968;20968;41940;1342176;0;31456;94368;0;0;0;41940;0;62912;0;20968;0;0;62912;0;1006632;0;251656;0;0;62912;167772;20968;251656;104856;41940
0;41940;83884;167772;20968;0;20968;20968;41940;1342176;0;31456;94368;0;0;0;41940;0;62912;20968;10484;62912;0;62912;0;838860;0;251656;0;0;62912;167772;20968;167772;104856;41940
0;41940;83884;167772;20968;41940;20968;20968;0;1342176;0;31456;31456;0;0;0;41940;0;62912;20968;10484;62912;0;62912;0;838860;0;293600;0;0;62912;167772;10484;251656;104856;41940
0;41940;41940;167772;20968;41940;20968;20968;0;1174404;0;31456;31456;0;0;0;41940;0;52428;20968;10484;62912;0;62912;0;838860;0;293600;0;0;62912;167772;10484;251656;104856;41940
0;41940;83884;167772;20968;41940;20968;20968;20968;1174404;0;31456;31456;0;0;0;41940;0;52428;0;10484;62912;0;62912;0;838860;0;293600;0;0;62912;167772;10484;251656;104856;41940
0;41940;125828;167772;10484;41940;41940;10484;20968;1174404;0;31456;31456;0;0;0;31456;0;52428;0;10484;20968;0;62912;0;838860;0;293600;0;0;62912;167772;31456;251656;104856;41940
0;41940;125828;167772;10484;41940;41940;10484;20968;1677720;0;31456;31456;0;0;0;31456;0;73400;0;10484;20968;0;62912;0;838860;0;293600;0;0;62912;167772;31456;545256;209712;0
0;41940;125828;209712;10484;41940;41940;10484;20968;1677720;0;31456;31456;0;0;0;31456;0;73400;0;31456;20968;0;62912;0;1342176;0;293600;0;0;62912;251656;94368;629144;209712;0
0;41940;125828;251656;10484;41940;41940;0;20968;1677720;0;31456;94368;0;0;0;31456;0;73400;0;31456;41940;0;62912;0;1342176;0;293600;0;0;62912;251656;94368;629144;209712;0
0;41940;125828;251656;10484;41940;41940;0;20968;1174404;0;94368;94368;0;0;0;31456;0;73400;0;31456;41940;0;62912;0;1342176;0;293600;0;0;41940;251656;94368;629144;104856;41940
0;41940;125828;251656;10484;41940;41940;0;0;1174404;0;94368;94368;0;0;0;31456;0;73400;0;10484;41940;0;62912;0;1342176;0;293600;0;0;41940;251656;94368;587200;104856;41940
0;41940;125828;167772;0;0;20968;20968;0;1174404;0;94368;94368;0;0;0;41940;0;73400;0;10484;62912;0;62912;0;1342176;0;167772;0;0;41940;251656;83884;587200;104856;41940
0;41940;41940;167772;0;0;20968;20968;0;1509948;0;31456;94368;0;0;0;41940;0;41940;0;10484;62912;0;0;20968;1342176;0;167772;0;0;62912;251656;83884;587200;0;41940
0;41940;41940;167772;0;0;20968;20968;0;1509948;0;31456;94368;0;0;0;41940;0;41940;0;20968;62912;0;0;20968;1006632;0;167772;0;0;62912;419428;83884;796916;0;41940
0;41940;41940;83884;0;0;20968;10484;0;1509948;0;31456;31456;0;0;0;31456;0;41940;0;20968;0;0;0;20968;1006632;0;167772;0;0;62912;419428;94368;796916;0;41940
0;83884;167772;83884;0;0;20968;10484;0;1677720;0;31456;31456;0;0;0;31456;0;41940;0;20968;0;0;62912;20968;1006632;0;167772;0;0;62912;419428;94368;796916;209712;0
0;125828;167772;83884;10484;0;20968;10484;0;1677720;0;31456;94368;0;0;0;31456;0;41940;0;10484;0;0;62912;20968;1006632;0;167772;0;0;62912;167772;94368;713028;209712;0
0;125828;167772;209712;10484;41940;20968;10484;0;1677720;0;31456;94368;0;0;0;31456;0;52428;0;10484;0;0;62912;20968;1006632;0;125828;0;0;62912;167772;115340;713028;209712;0
0;125828;41940;209712;10484;41940;20968;10484;0;1845492;0;0;94368;0;0;0;31456;0;62912;0;10484;0;0;62912;0;1006632;41940;125828;0;0;62912;167772;115340;713028;104856;0
0;125828;41940;209712;10484;41940;20968;10484;0;1845492;0;0;94368;0;0;0;31456;0;62912;0;0;0;0;62912;0;1006632;41940;125828;0;0;62912;167772;115340;461372;104856;0
0;167772;41940;83884;10484;0;20968;20968;0;1845492;0;0;125828;0;0;0;20968;0;62912;0;0;0;0;62912;0;671088;41940;83884;0;0;62912;167772;52428;461372;104856;0
0;167772;41940;83884;41940;0;20968;20968;0;1509948;0;0;125828;0;0;0;41940;0;62912;0;0;0;0;62912;0;671088;41940;83884;0;0;20968;167772;52428;461372;104856;83884
0;167772;41940;83884;41940;0;20968;20968;0;1509948;0;0;125828;0;0;0;41940;0;62912;0;0;0;0;62912;0;671088;41940;83884;0;0;20968;167772;52428;545256;104856;83884
41940;41940;41940;83884;41940;0;20968;20968;0;1509948;0;31456;31456;0;0;0;41940;0;62912;0;0;0;0;62912;0;503316;41940;125828;0;0;20968;167772;52428;545256;104856;83884
41940;41940;0;83884;41940;0;20968;20968;0;1509948;0;31456;31456;0;0;0;41940;0;62912;0;0;0;0;62912;20968;671088;41940;125828;0;0;20968;167772;52428;545256;104856;0
0;41940;0;83884;41940;0;20968;20968;0;1509948;0;31456;31456;0;0;0;41940;0;62912;41940;20968;0;0;62912;20968;671088;41940;125828;0;0;20968;251656;52428;419428;104856;0
0;167772;0;41940;20968;0;41940;20968;20968;1509948;0;31456;94368;0;0;0;41940;0;62912;41940;20968;0;0;62912;20968;1006632;41940;251656;0;0;20968;251656;73400;419428;104856;0
0;167772;83884;41940;20968;0;41940;20968;20968;1342176;0;31456;94368;0;0;0;41940;0;73400;41940;20968;0;0;62912;0;1006632;41940;251656;0;0;41940;251656;73400;419428;0;0
